From	To
A4H990	5414445
A4H9Q9	5414620
A4HCP1	5415676
A4HCW0	5415745
A4HPM6	5419977
A4HS53	5066348
A4HSF7	5066544
A4HUF6	5067075
A4HUF9	5067052
A4HUG0	5067053
A4HWA0	5067729
A4HWA6	5067735
A4I048	5069112
A4I066	5069130
A4I067	5069131
A4I1T8	5069715
A4I213	5069795
A4I2Z3	5070138
A4I3S4	5070424
A4I6I1	5071399
A4IFH1	281174
A4KAG8	4329729
A4LAG9	100233042
A4PIS8	18639596
A4PIS9	18641451
A4PIT0	18619008
A4Q9R7	45425806
A4QEK4	58309186
A4QFE0	58308756
A4QUT2	2680833
A4R5S9	2677580
A4RQJ7	4999468
A4RT23	5000268
A4SBK5	5006938
A4SVB6	31480559
A4X3Q0	5057472
A4X747	5058710
A4YDR9	5103637
A4YDR9	59456160
A4YDT1	5105523
A4YDT1	59456144
A4YEG2	5103799
A4YEG2	59455907
A4YEH9	5103816
A4YEH9	59455890
A4YFE8	5104531
A4YFE8	59455551
A4YG49	5104156
A4YG49	59455254
A4YGC7	5104572
A4YGC7	59457572
A4YGF9	5103412
A4YGF9	59457542
A4YGN2	5104797
A4YGN2	59457466
A4YGX6	5104050
A4YGX6	59457368
A4YHQ7	5105368
A4YI81	5103380
A4YI81	59456873
A4YI89	5103388
A4YI89	59456864
A4ZF98	5246928
A4ZYQ6	100125909
A5A6S1	100101241
A5A6S2	100101242
A5A6S3	100101243
A5ABL2	4984551
A5D9D1	534929
A5DHM6	5127324
A5DNB9	5124822
A5F5R2	57740987
A5F5X0	57740915
A5F5Y3	57740910
A5F5Y4	57740911
A5HBL2	61510113
A5HIF6	49867707
A5HZZ9	56879027
A5JSJ3	57939210
A5JV19	544162
A5JZ19	5476266
A5K1A2	5476134
A5K1Z8	5475474
A5K3U9	5475228
A5K7H9	5473754
A5K817	5473443
A5K867	5473493
A5K8L9	5473173
A5K8X6	5473280
A5PLL7	387521
A5PLL7	387522
A5U0Y6	45424915
A5U4N0	45426178
A5U6Y7	45426965
A5U8X0	45427643
A5UJ76	5215734
A5UK38	5216509
A5UL43	5216103
A5UMI1	5217296
A5UP31	5216598
A5VK58	61232965
A5VMB2	61233755
A5XCL5	39065
A5YKM2	45426973
A5YKM2	887482
A5YM72	57571
A5YT86	100101899
A5YT88	100101900
A5YVV2	654918
A5YVX3	659187
A5YVX4	658249
A5YVX5	659369
A5YVX6	656027
A5YW95	107861186
A6H757	515738
A6H7I5	511691
A6KWY5	5301192
A6KYS6	5301862
