"","uniprot","reaction","entrez"
"166","A0A125S6K8","ID	1.13.11.12",103491539
"167","A0A125YGE6","ID	4.1.2.13",7900118
"168","A0A125YLW2","ID	4.1.2.4",7894547
"169","A0A125YMC0","ID	2.3.1.48",7901282
"170","A0A125YXL3","ID	6.1.1.18",7901033
"171","A0A133Q8U5","ID	2.1.2.3|ID	3.5.4.10",58090079
"172","A0A133QBY0","ID	1.14.99.48",58090838
"173","A0A139WIW2","ID	2.4.1.15",659356
"174","A0A140LFW4","ID	2.3.1.298",100332380
"175","A0A140N3B4","ID	5.3.1.12",61645371
"176","A0A140N5X9","ID	2.1.1.166",61751985
"177","A0A140N893","ID	1.1.1.28",61753659
"178","A0A140N8S7","ID	2.7.4.25",61754070
"179","A0A140N8W1","ID	3.4.21.89",61753429
"180","A0A140N932","ID	6.3.4.2",61754224
"181","A0A140N9T3","ID	3.1.3.27",61756165
"182","A0A140ND68","ID	2.6.1.1",61754052
"183","A0A140NEG9","ID	2.7.2.8",61754786
"184","A0A142LT03","ID	5.4.99.34",103443364
"185","A0A142LT04","ID	5.4.99.41",103426165
"186","A0A144A2H0","ID	3.4.11.9",812099
"187","A0A161KIT4","ID	3.2.1.201",60510452
"188","A0A161KIT4","ID	3.2.1.201",62702064
"189","A0A166W7U1","ID	5.1.3.19",108719174
"190","A0A168S2B8","ID	1.1.1.25",100242676
"191","A0A171","ID	1.4.1.13",1443203
"192","A0A177YY42","ID	4.2.1.119",61774475
"193","A0A178US77","ID	1.6.2.2",831645
"194","A0A178UZG1","ID	2.3.2.27",828746
"195","A0A179EY19","ID	3.5.1.41",28854016
"196","A0A179FQV9","ID	3.2.1.11",28847499
"197","A0A180C927","ID	3.4.21.89",61198251
"198","A0A193DXP2","ID	1.13.11.3",61456630
"199","A0A194SF92","ID	4.3.1.24",28975507
"200","A0A1A5VII5","ID	3.4.11.5",57365227
"201","A0A1A6GB48","ID	1.1.1.27",61000621
"202","A0A1B1L4G3","ID	4.2.1.118",56442764
"203","A0A1D6FGI6","ID	4.1.1.53",100037764
"204","A0A1D6GDY8","ID	3.6.4.13",100193526
"205","A0A1D6GLB9","ID	2.5.1.43",100285295
"206","A0A1D6K0A7","ID	2.5.1.43",103634563
"207","A0A1D6NCX2","ID	2.7.1.1",103651223
"208","A0A1D8PDC6","ID	3.5.1.54",3644771
"209","A0A1D8PEU2","ID	3.5.1.89",3634907
"210","A0A1D8PFK5","ID	2.4.1.16",3636199
"211","A0A1D8PG20","ID	2.6.1.39|ID	2.6.1.57",3638828
"212","A0A1D8PP43","ID	1.1.1.1|ID	1.2.1.23",3636489
"213","A0A1D8PQ07","ID	1.1.1.59",3639239
"214","A0A1D8PQL3","ID	2.7.7.79",3637997
"215","A0A1D8PS71","ID	3.1.3.26",3644929
"216","A0A1E3P771","ID	3.1.3.1",30203938
"217","A0A1E3P8S6","ID	2.3.1.268",30198573
"218","A0A1G4HB34","ID	3.4.11.21",5471212
"219","A0A1I9LPQ6","ID	1.1.1.81",822139
"220","A0A1J9VES8","ID	2.5.1.47|ID	4.2.1.22",45024246
"221","A0A1J9VES8","ID	2.5.1.47|ID	4.2.1.22",56654123
"222","A0A1J9W3F9","ID	3.5.1.28",45022452
"223","A0A1L2F0V9","ID	5.3.1.4",60969542
"224","A0A1L7H888","ID	4.4.1.11",24253690
"225","A0A1P8B3N4","ID	3.4.22.49",828396
"226","A0A1Q8TTZ0","ID	6.3.2.4",48010861
"227","A0A1R7T3A4","ID	3.4.24.15",836688
"228","A0A1S0QR24","ID	3.4.21.89",45022890
"229","A0A1S0QVH4","ID	4.1.1.20",45021418
"230","A0A1S0QXP6","ID	5.4.99.18",51131947
"231","A0A1S0QXP6","ID	5.4.99.18",58160268
"232","A0A1S2XQM1","ID	3.1.4.46",101502205
"233","A0A1S3NED8","ID	3.5.3.1",100500786
"234","A0A1S3R1W2","ID	3.5.3.1",106599105
"235","A0A1S4AG82","ID	2.4.1.214",107797347
"236","A0A1S4DHZ6","ID	2.4.1.214",107830046
"237","A0A1S6PTV7","ID	2.3.1.20",104701387
"238","A0A1U7EWW7","ID	1.2.1.3",3702501
"239","A0A1U7EYC1","ID	6.3.4.14",3702467
"240","A0A1U7Z269","ID	1.14.13.71 (transferred to EC 1.14.14.102)|ID	1.14.14.102",104585940
"241","A0A1U7Z3Y9","ID	1.14.18.1",104586461
"242","A0A1U8QU02","ID	3.5.1.41",2867795
"243","A0A1V0FWZ3","ID	3.5.1.24",29639661
"244","A0A1V0HT57","ID	2.4.1.16",20663244
"245","A0A1V0M5M0","ID	3.1.3.12",42592479
"246","A0A1X9TYE5","ID	4.1.1.22",61395367
"247","A0A220K8B9","ID	4.4.1.9",105385950
"248","A0A223CGG0","ID	3.5.1.19",46869342
"249","A0A223CGG0","ID	3.5.1.19",56459205
"250","A0A249DBU8","ID	4.2.1.53",61199537
"251","A0A287DGA3","ID	3.5.4.6",101958436
"252","A0A288TG08","ID	2.3.1.15",104967599
"253","A0A290U6M8","ID	4.2.3.89",102610978
"254","A0A290U6M9","ID	4.2.3.89",102610978
"255","A0A2B6C4K2","ID	3.4.21.107",45023383
"256","A0A2B6C4K2","ID	3.4.21.107",61735164
