"Accession","pvalue","for_change","Type","Values"
"P57784",0.246264152185946,-0.333333333333333,"BALB.cJ_300",-0.08
"Q3TEA8",0.13126132085012,-0.163333333333333,"BALB.cJ_300",0.06
"Q64521",0.0827190048460374,-0.503333333333333,"BALB.cJ_300",0.01
"O09174",0.610130734968685,0.0466666666666667,"BALB.cJ_300",0.18
"P28651",0.745756423269234,-0.0933333333333333,"BALB.cJ_300",-0.12
"P37804",0.819561523624043,-0.06,"BALB.cJ_300",0.31
"Q9QZ88",0.836127042228509,-0.03,"BALB.cJ_300",0.03
"Q9CQA3",0.291170985626422,-0.0766666666666667,"BALB.cJ_300",0.08
"P13439",0.0229919490010288,-0.603333333333333,"BALB.cJ_300",-0.6
"P26150",0.579857131193716,-0.13,"BALB.cJ_300",0.48
"Q8BH00",0.0222903508091755,-0.0733333333333333,"BALB.cJ_300",-0.04
"P27546-2",0.163124809152547,0.1,"BALB.cJ_300",0.29
"Q62446",0.597964154114537,-0.136666666666667,"BALB.cJ_300",-0.33
"Q61335",0.756017511541642,-0.123333333333333,"BALB.cJ_300",-0.71
"O88342",0.183273214730927,-0.13,"BALB.cJ_300",-0.11
"P63028",0.378881425038694,-0.156666666666667,"BALB.cJ_300",0.03
"Q9CPY7",0.0128686627358742,-0.26,"BALB.cJ_300",-0.11
"Q99K01-4",0.107158305348161,-0.233333333333333,"BALB.cJ_300",-0.54
"P62869",0.0274146805944203,0.596666666666667,"BALB.cJ_300",0.2
"O08663",0.064376724480983,-0.153333333333333,"BALB.cJ_300",-0.07
"P23492",0.00639430082491894,-0.323333333333333,"BALB.cJ_300",-0.08
"Q3U0V1",0.0491234464050476,0.256666666666667,"BALB.cJ_300",0.22
"Q8VIJ6",0.0668931043445865,-0.32,"BALB.cJ_300",-0.04
"Q8R0V5",0.0238109696091905,-0.846666666666667,"BALB.cJ_300",-0.65
"Q9CPU0",0.00950388851868928,-0.763333333333333,"BALB.cJ_300",-0.59
"Q8CGV4",0.0703316139853694,-1.25,"BALB.cJ_300",-2.35
"Q8VBT2",0.00315902917482805,0.67,"BALB.cJ_300",0.19
"Q64012",0.0426319765419413,-0.39,"BALB.cJ_300",-0.11
"Q8C6B0",0.301515073679541,0.176666666666667,"BALB.cJ_300",0.38
"Q9CXS4",0.625460332101939,-0.07,"BALB.cJ_300",0.09
"Q8BGL3",0.56297392169866,-0.0766666666666667,"BALB.cJ_300",-0.18
"O08914",0.333314729003238,0.14,"BALB.cJ_300",0.15
"Q9JLZ3",0.468828904029691,0.176666666666667,"BALB.cJ_300",0.13
"Q9JII5",0.115516830025455,0.196666666666667,"BALB.cJ_300",-0.13
"Q9CQX8",0.377820031782175,-0.126666666666667,"BALB.cJ_300",0.23
"Q3KQQ2",1.18124844680367e-05,0.966666666666667,"BALB.cJ_300",0.86
"Q99L04",0.00397944230992805,0.436666666666667,"BALB.cJ_300",0.52
"Q9JM76",0.0769563962426448,0.116666666666667,"BALB.cJ_300",0.03
"Q9DCC4",0.601004098261618,-0.06,"BALB.cJ_300",-0.01
